Name,Region,ISO_3166_Num,ISO_3166,Country,Business Model,Network Sharing Architecture,Network Technology,Deployment Scenario,Otro
TEPCO,Asia Pacific,392,JPN,Japan,Independent Mobile NaaSCo,MORAN/MOCN,5G,Low-ARPU Urban and High-ARPU Urban,1
NURAN,Africa & Middle East,728,SSD,South Sudan,Independent Mobile NaaSCo,N/A,,"Rural, Ultra-Rural",2
NURAN,Africa & Middle East,180,COD,Democratic Republic of the Congo,Independent Mobile NaaSCo,N/A,2G,"Rural, Ultra-Rural",3
NURAN,Africa & Middle East,266,GAB,Gabon,Independent Mobile NaaSCo,N/A,2G,"Rural, Ultra-Rural",1
NURAN,Africa & Middle East,120,CMR,Cameroon,Independent Mobile NaaSCo,N/A,2G,"Rural, Ultra-Rural",2
NURAN,Africa & Middle East,466,MLI,Mali,Independent Mobile NaaSCo,N/A,,"Rural, Ultra-Rural",1
NURAN,Africa & Middle East,694,SLE,Sierra Leone,Independent Mobile NaaSCo,N/A,"2G,3G","Rural, Ultra-Rural",1
NURAN,Africa & Middle East,288,GHA,Ghana,Independent Mobile NaaSCo,N/A,,"Rural, Ultra-Rural",2
Wireless Infrastructure Group – Aberdeen,Europe,826,GBR,United Kingdom,Independent Mobile NaaSCo,MORAN/MOCN,5G,Low-ARPU Urban,6
Liquid Telecom,Africa & Middle East,710,ZAF,South Africa,Independent Mobile NaaSCo,MNO/MVNO Wholesale,5G,Low-ARPU Urban,3
Africa Mobile Network (AMN),Africa & Middle East,120,CMR,Cameroon,Independent Mobile NaaSCo,N/A,"2G, 3G, 4G","Rural, Ultra-Rural",2
Africa Mobile Network (AMN),Africa & Middle East,204,BEN,Benin,Independent Mobile NaaSCo,N/A,"2G, 3G, 4G","Rural, Ultra-Rural",1
Africa Mobile Network (AMN),Africa & Middle East,624,GNB,Guinea-Bissau,Independent Mobile NaaSCo,N/A,"2G, 3G, 4G","Rural, Ultra-Rural",1
Africa Mobile Network (AMN),Africa & Middle East,180,COD,Democratic Republic of the Congo,Independent Mobile NaaSCo,N/A,"2G, 3G, 4G","Rural, Ultra-Rural",3
Africa Mobile Network (AMN),Africa & Middle East,430,LBR,Liberia,Independent Mobile NaaSCo,N/A,"2G, 3G, 4G","Rural, Ultra-Rural",2
Africa Mobile Network (AMN),Africa & Middle East,566,NGA,Nigeria,Independent Mobile NaaSCo,N/A,"2G, 3G, 4G","Rural, Ultra-Rural",2
Africa Mobile Network (AMN),Africa & Middle East,894,ZMB,Zambia,Independent Mobile NaaSCo,N/A,"2G, 3G, 4G","Rural, Ultra-Rural",2
Winity Telecom,Latin America,76,BRA,Brazil,Independent Mobile NaaSCo,MNO/MVNO Wholesale,"4G, 5G","Rural, Ultra-Rural, Low-ARPU Urban",4
Dense Air,Asia Pacific,554,NZL,New Zealand,Independent Mobile NaaSCo,MNO/MVNO Wholesale,"4G, 5G","Rural, Ultra-Rural, Low-ARPU Urban",3
Dense Air,Europe,620,PRT,Portugal,Independent Mobile NaaSCo,MNO/MVNO Wholesale,5G,"Low-ARPU Urban, High-ARPU Urban",2
Dense Air,Asia Pacific,36,AUS,Australia,Independent Mobile NaaSCo,MNO/MVNO Wholesale,5G,"Rural, Low-ARPU Urban, High-ARPU Urban",3
Dense Air,Europe,372,IRL,Ireland,Independent Mobile NaaSCo,MNO/MVNO Wholesale,5G,"Low-ARPU Urban, High-ARPU Urban",3
Dense Air,Europe,56,BEL,Belgium,Independent Mobile NaaSCo,MNO/MVNO Wholesale,5G,"Low-ARPU Urban, High-ARPU Urban",3
Field Solutions Regional Access Network (RAN),Asia Pacific,36,AUS,Australia,Independent Mobile NaaSCo,MNO/MVNO Wholesale,"4G, 5G","Rural, Ultra-Rural",3
ufinet,Latin America,484,MEX,Mexico,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",3
ufinet,Latin America,320,GTM,Guatemala,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",1
ufinet,Latin America,222,SLV,El Salvador,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",2
ufinet,Latin America,340,HND,Honduras,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",1
ufinet,Latin America,558,NIC,Nicaragua,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",1
ufinet,Latin America,188,CRI,Costa Rica,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",1
ufinet,Latin America,591,PAN,Panama,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",1
ufinet,Latin America,170,COL,Colombia,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",2
ufinet,Latin America,218,ECU,Ecuador,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",1
ufinet,Latin America,600,PRY,Paraguay,Independent Fixed NaaSCo,FTTH wholesale | Dark Fiber Leasing | IP/Ethernet Services | Wavelength Service,"GPON, Ethernet, DWDM","Rural, Low-ARPU Urban, High-ARPU Urban",1
